plan_id,scenario_id,status,total_mln,pv_mln,capex_mln,cost_per_served_t,served_t,rejected_t,shortage_t,critical_shortage_t,worst_total_service,worst_critical_service,minimum_inventory_t,final_inventory_t,minimum_reserve_margin_t,hard_violations,target_violations,key_violation,violation_codes,max_violation_excess,audit_status,data_version,policy_version,calculated_at_utc,engine_version,input_sha256,compact_export
EARTH_NEW_BASE_R60_E_INSURANCE,BASE,FEASIBLE,10727.15449821782331765788006,7500.009206865803046867702507,540,7.717377336847354904789841692,1390.000000000000000000000014,0E-27,0E-29,0E-29,0.9999999999999999999999999811,1,3.560E-24,3.560E-24,4.10958904109589041095890411,0,0,,,0,PASS,case-v1,TEAM_POLICY_V1,2026-09-19T18:48:27.207507+00:00,1.0.0,104ecc553b3237595b3dbe1191c05547eb469914ba08129b9fac73f31a7eae0a,False
EARTH_NEW_BASE_R60_E_INSURANCE,MANDATORY_STRESS,INFEASIBLE,11268.60772446918797654443996,7855.312903921881281012075886,540,8.106912031992221565859309359,1389.999999999999999999999994,0E-27,143.9999999999999999999999974,90.31780821917808219178081988,0.7051816557474687313877307813,0.7110875521143537820131030435,0E-27,0E-27,-55.29452054794520547945205479,2,4,OPENING_RESERVE_SHORTFALL,CRITICAL_SERVICE_SHORTFALL;OPENING_RESERVE_SHORTFALL;TOTAL_SERVICE_SHORTFALL,55.29452054794520547945205479,PASS,case-v1,TEAM_POLICY_V1,2026-09-19T18:48:27.325593+00:00,1.0.0,b8533a6a713a50ebcedb5996cb01fec764f9a6617114e2135fd705b530bab084,False
EARTH_NEW_BASE_R60_E_INSURANCE_ADAPTED_MANDATORY_STRESS,MANDATORY_STRESS,FEASIBLE,12844.13710012564872944868484,8828.938746796802357858852201,540,8.372970730199249497684931507,1533.999999999999999999999989,0E-27,0E-29,0E-29,0.9999999999999999999999999811,0.9999999999999999999999999724,6.479E-24,6.479E-24,4.10958904109589041095890411,0,0,,,0,PASS,case-v1,TEAM_POLICY_V1,2026-09-19T18:48:27.445953+00:00,1.0.0,f0092817253f0ff64dc7d275d470a969263c250e2e7c53f6347be0623acac5ae,False
