experiment,plan_id,scenario_id,status,total_mln,pv_mln,capex_mln,cost_per_served_t,served_t,rejected_t,shortage_t,critical_shortage_t,worst_total_service,worst_critical_service,minimum_inventory_t,final_inventory_t,minimum_reserve_margin_t,hard_violations,target_violations,key_violation,violation_codes,max_violation_excess,audit_status
LOW_FIXED,EARTH_NEW_BASE_R60_E_INSURANCE,LOW,INFEASIBLE,10905.61230095754934505514032,7623.843104798075500679874476,540,9.807205306616501209581960711,1112.000000000000000000000001,186.2348178137651821862348287,0E-29,0E-29,0.999999999999999999999999959,0.999999999999999999999999959,18.65296803652968036529680363,93.99999999999999999999999900,6.575342465753424657534246577,39,0,STORAGE_OVERFLOW,STORAGE_OVERFLOW,11.1027397260273972602739741,PASS
LOW_KNOWN_BEFORE_PLANNING,EARTH_NEW_LOW_R45,LOW,FEASIBLE,8502.035893434016605884749556,5972.552973695862038281304600,540,7.645715731505410616802832335,1112.000000000000000000000000,0E-27,1.02980E-24,0E-29,0.999999999999999999999999959,0.999999999999999999999999959,0E-28,0E-28,2.465753424657534246575342467,0,0,,,0,PASS
HIGH_FIXED,EARTH_NEW_BASE_R60_E_INSURANCE,HIGH,INFEASIBLE,10576.81290949198357286523602,7399.751586449745379717821749,540,7.609217920497829908536140983,1390.000000000000000000000007,0E-27,282.9999999999999999999999983,179.7485388127853881278538810,0.6487671232876712328767123171,0.6546794520547945205479452227,0E-28,0E-27,-60.10273972602739726027397260,11,0,OPENING_RESERVE_SHORTFALL,CRITICAL_SERVICE_SHORTFALL;OPENING_RESERVE_SHORTFALL;TOTAL_SERVICE_SHORTFALL,60.10273972602739726027397260,PASS
HIGH_KNOWN_BEFORE_PLANNING,EARTH_NEW_HIGH_R45,HIGH,FEASIBLE,13077.65210349610841118544918,8970.174728365383913697361581,540,7.820112575167806447717829722,1672.309954337899543378995440,0E-26,0.6900456621004566210045643533,0.3881278538812785388127853882,0.9977918538812785388127854298,0.9981735159817351598173516118,0E-28,0.690045662100456621004562768,0E-26,0,0,,,0,PASS
