id,source,contract_id,ordered_at,planned_arrival_at,actual_arrival_at,planned_t,actual_share,gross_t,role
PREP-STOCK,B,PREP-B,-368/3,-1,-1,17.21293839202467187836190203,1,17.21293839202467187836190203,opening_inventory
A-2035-01,A,A-2035,-365,0,0,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-02,A,A-2035,-4015/12,365/12,365/12,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-03,A,A-2035,-1825/6,365/6,365/6,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-04,A,A-2035,-1095/4,365/4,365/4,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-05,A,A-2035,-730/3,365/3,365/3,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-06,A,A-2035,-2555/12,1825/12,1825/12,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-07,A,A-2035,-365/2,365/2,365/2,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-08,A,A-2035,-1825/12,2555/12,2555/12,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-09,A,A-2035,-365/3,730/3,730/3,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-10,A,A-2035,-365/4,1095/4,1095/4,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-11,A,A-2035,-365/6,1825/6,1825/6,9.299768103468885223170527625,1,9.299768103468885223170527625,planned
A-2035-12,A,A-2035,-365/12,4015/12,4015/12,9.2997681034688852231705277,1,9.2997681034688852231705277,planned
A-2036-01,A,A-2036,0,365,365,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-02,A,A-2036,365/12,4745/12,4745/12,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-03,A,A-2036,365/6,2555/6,2555/6,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-04,A,A-2036,365/4,1825/4,1825/4,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-05,A,A-2036,365/3,1460/3,1460/3,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-06,A,A-2036,1825/12,6205/12,6205/12,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-07,A,A-2036,365/2,1095/2,1095/2,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-08,A,A-2036,2555/12,6935/12,6935/12,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-09,A,A-2036,730/3,1825/3,1825/3,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-10,A,A-2036,1095/4,2555/4,2555/4,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-11,A,A-2036,1825/6,4015/6,4015/6,12.71394562379411398369512852,1,12.71394562379411398369512852,planned
A-2036-12,A,A-2036,4015/12,8395/12,8395/12,12.7139456237941139836951285,1,12.7139456237941139836951285,planned
A-2037-01,A,A-2037,365,730,730,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-02,A,A-2037,4745/12,9125/12,9125/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-03,A,A-2037,2555/6,4745/6,4745/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-04,A,A-2037,1825/4,3285/4,3285/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-05,A,A-2037,1460/3,2555/3,2555/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-06,A,A-2037,6205/12,10585/12,10585/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-07,A,A-2037,1095/2,1825/2,1825/2,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-08,A,A-2037,6935/12,11315/12,11315/12,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-09,A,A-2037,1825/3,2920/3,2920/3,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-10,A,A-2037,2555/4,4015/4,4015/4,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-11,A,A-2037,4015/6,6205/6,6205/6,15.83333333333333333333333333,1,15.83333333333333333333333333,planned
A-2037-12,A,A-2037,8395/12,12775/12,12775/12,15.8333333333333333333333335,1,15.8333333333333333333333335,planned
B-2037-01,B,B-2037,1825/3,730,730,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-02,B,B-2037,2555/4,9125/12,9125/12,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-03,B,B-2037,4015/6,4745/6,4745/6,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-04,B,B-2037,8395/12,3285/4,3285/4,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
B-2037-05,B,B-2037,730,2555/3,2555/3,1.544146192668182574455105102,1,1.544146192668182574455105102,planned
