year,opening_t,required_reserve_t,gross_t,losses_t,served_t,served_critical_t,shortage_t,shortage_critical_t,inventory_t_year,holding_mln,closing_t,total_demand_t,critical_demand_t,total_service,critical_service,loss_share
2035,16.43835616438356164383561644,12.32876712328767123287671233,111.5972172416266226780463315,5.021874775873198020512084920,99.99999999999999999999999875,80.00000000000000000000000024,0E-29,0E-29,24.16666666666666666666666735,17.40000000000000000000000049,23.01369863013698630136986450,100,80,0.9999999999999999999999999875,1,0.04500000000000000000000000002
2036,23.01369863013698630136986450,17.26027397260273972602739726,152.5673474855293678043415422,4.348169403337586982423733951,140.0000000000000000000000009,105.0000000000000000000000009,0E-29,0E-29,32.66974644961305893771576907,23.52221744372140243515535375,31.23287671232876712328767406,140,105,1,1,0.02849999999999999999999999999
2037,31.23287671232876712328767406,23.42465753424657534246575342,208.5297543120181908934612612,2.502357051744218290721535135,189.9999999999999999999999964,135.0000000000000000000000028,0E-29,0E-29,47.83105022831050228310502575,34.43835616438356164383561858,47.26027397260273972602740049,190,135,0.9999999999999999999999999811,1,0.01200000000000000000000000000
2038,47.26027397260273972602740049,35.44520547945205479452054795,304.3855027452720315013033165,3.652626032943264378015639794,287.5000000000000000000000029,195.4999999999999999999999946,0E-29,0E-29,47.57176940639269406392694540,34.25167397260273972602740067,60.49315068493150684931507623,287.50,195.50,1,0.9999999999999999999999999724,0.01199999999999999999999999999
2039,60.49315068493150684931507623,45.36986301369863013698630137,385.8632355387942987077810428,4.630358826465531584493372518,367.9999999999999999999999981,241.5000000000000000000000077,0E-29,0E-29,82.99429223744292237442923079,59.75589041095890410958904613,73.72602739726027397260274643,368.00,241.50,0.9999999999999999999999999948,1,0.01200000000000000000000000001
2040,73.72602739726027397260274643,55.29452054794520547945205479,379.3258832011535688536409518,4.551910598413842826243691425,448.4999999999999999999999921,287.5000000000000000000000029,0E-28,0E-29,52.47859589041095890410959558,37.78458904109589041095890881,6.479E-24,448.50,287.50,0.9999999999999999999999999824,1,0.01200000000000000000000000001
