year,opening_t,required_reserve_t,offered_gross_t,gross_t,rejected_gross_t,curtailed_inventory_t,losses_t,served_t,served_critical_t,shortage_t,shortage_critical_t,inventory_t_year,holding_mln,closing_t,total_demand_t,critical_demand_t,total_service,critical_service,loss_share
2035,16.43835616438356164383561644,12.32876712328767123287671233,111.5972172416266226780463315,111.5972172416266226780463315,0E-27,0,5.021874775873198020512084920,99.99999999999999999999999875,80.00000000000000000000000024,0E-29,0E-29,24.16666666666666666666666735,17.40000000000000000000000049,23.01369863013698630136986450,100,80,0.9999999999999999999999999875,1,0.04500000000000000000000000002
2036,23.01369863013698630136986450,17.26027397260273972602739726,152.5673474855293678043415422,152.5673474855293678043415422,0E-26,0,4.348169403337586982423733951,140.0000000000000000000000009,105.0000000000000000000000009,0E-29,0E-29,32.66974644961305893771576907,23.52221744372140243515535375,31.23287671232876712328767406,140,105,1,1,0.02849999999999999999999999999
2037,31.23287671232876712328767406,23.42465753424657534246575342,208.5297543120181908934612612,208.5297543120181908934612612,0E-26,0,2.502357051744218290721535135,189.9999999999999999999999964,135.0000000000000000000000028,0E-29,0E-29,47.83105022831050228310502575,34.43835616438356164383561858,47.26027397260273972602740049,190,135,0.9999999999999999999999999811,1,0.01200000000000000000000000000
2038,47.26027397260273972602740049,30.82191780821917808219178082,266.4300371582274970883478454,266.4300371582274970883478454,0E-26,0,3.197160445898729965060174146,250.0000000000000000000000026,170.0000000000000000000000058,0E-29,0E-29,52.25926940639269406392694469,37.62667397260273972602740018,60.49315068493150684931507348,250,170,1,1,0.01200000000000000000000000000
2039,60.49315068493150684931507348,39.45205479452054794520547945,337.2802395873772946591980478,337.2802395873772946591980478,0E-26,0,4.047362875048527535910376577,320.0000000000000000000000060,210.0000000000000000000000051,0E-29,0E-29,80.99429223744292237442922811,58.31589041095890410958904422,73.72602739726027397260274360,320,210,1,1,0.01200000000000000000000000001
2040,73.72602739726027397260274360,48.08219178082191780821917808,320.1153568853640951694304257,320.1153568853640951694304257,0E-26,0,3.841384282624369142033165105,390.0000000000000000000000085,250.0000000000000000000000026,0E-29,0E-29,50.04109589041095890410959269,36.02958904109589041095890670,3.560E-24,390,250,1,1,0.01199999999999999999999999999
