code,at,actual,limit,excess,unit,subject,severity
OPENING_RESERVE_SHORTFALL,1460,22.99315068493150684931507098,45.36986301369863013698630137,22.37671232876712328767123039,t,2039,hard
OPENING_RESERVE_SHORTFALL,1825,0E-27,55.29452054794520547945205479,55.29452054794520547945205479,t,2040,hard
TOTAL_SERVICE_SHORTFALL,1825,0.9680055092316855270994639677,0.97,0.0019944907683144729005360323,share,2039,target
CRITICAL_SERVICE_SHORTFALL,1825,0.9699566068237896707223687963,0.99,0.0200433931762103292776312037,share,2039,target
TOTAL_SERVICE_SHORTFALL,2190,0.7051816557474687313877307813,0.97,0.2648183442525312686122692187,share,2040,target
CRITICAL_SERVICE_SHORTFALL,2190,0.7110875521143537820131030435,0.99,0.2789124478856462179868969565,share,2040,target
