year,opening_t,required_reserve_t,offered_gross_t,gross_t,rejected_gross_t,curtailed_inventory_t,losses_t,served_t,served_critical_t,shortage_t,shortage_critical_t,inventory_t_year,holding_mln,closing_t,total_demand_t,critical_demand_t,total_service,critical_service,loss_share
2035,16.43835616438356164383561644,12.32876712328767123287671233,111.5972172416266226780463315,111.5972172416266226780463315,0E-27,0,5.021874775873198020512084920,99.99999999999999999999999875,80.00000000000000000000000024,0E-29,0E-29,24.16666666666666666666666735,17.40000000000000000000000049,23.01369863013698630136986450,100,80,0.9999999999999999999999999875,1,0.04500000000000000000000000002
2036,23.01369863013698630136986450,17.26027397260273972602739726,152.5673474855293678043415422,152.5673474855293678043415422,0E-26,0,4.348169403337586982423733951,140.0000000000000000000000009,105.0000000000000000000000009,0E-29,0E-29,32.66974644961305893771576907,23.52221744372140243515535375,31.23287671232876712328767406,140,105,1,1,0.02849999999999999999999999999
2037,31.23287671232876712328767406,23.42465753424657534246575342,208.5297543120181908934612612,208.5297543120181908934612612,0E-26,0,2.502357051744218290721535135,189.9999999999999999999999964,135.0000000000000000000000028,0E-29,0E-29,47.83105022831050228310502575,34.43835616438356164383561858,47.26027397260273972602740049,190,135,0.9999999999999999999999999811,1,0.01200000000000000000000000000
2038,47.26027397260273972602740049,35.44520547945205479452054795,266.4300371582274970883478454,266.4300371582274970883478454,0E-26,0,3.197160445898729965060174146,287.5000000000000000000000029,195.4999999999999999999999946,0E-29,0E-29,33.50926940639269406392694341,24.12667397260273972602739928,22.99315068493150684931507098,287.50,195.50,1,0.9999999999999999999999999724,0.01200000000000000000000000000
2039,22.99315068493150684931507098,45.36986301369863013698630137,337.2802395873772946591980478,337.2802395873772946591980478,0E-26,0,4.047362875048527535910376577,356.2260273972602739726027401,234.2445205479452054794520643,11.77397260273972602739725816,7.255479452054794520547943022,21.05114363753883363566231049,15.15682341902796021767686352,0E-27,368.00,241.50,0.9680055092316855270994639677,0.9699566068237896707223687963,0.01200000000000000000000000001
2040,0E-27,55.29452054794520547945205479,320.1153568853640951694304257,320.1153568853640951694304257,0E-26,0,3.841384282624369142033165105,316.2739726027397260273972554,204.4376712328767123287671250,132.2260273972602739726027392,83.06232876712328767123287686,9.296318336773628573215737790,6.693349202477012572715331209,0E-27,448.50,287.50,0.7051816557474687313877307813,0.7110875521143537820131030435,0.01199999999999999999999999999
