opening_t,gross_t,losses_t,after_inflow_t,served_t,served_critical_t,closing_t,shortage_t,shortage_critical_t,at,until,year,storage_id,demand_t,critical_demand_t,inventory_t_year,holding_mln
18.70000000000000000000000000,0,0.00,18.70000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.60000000000000000000000000,0E-28,0E-29,45,46,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.05109589041095890410958904110,0.03678904109589041095890410959
18.60000000000000000000000000,0,0.00,18.60000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.50000000000000000000000000,0E-28,0E-29,46,47,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.05082191780821917808219178083,0.03659178082191780821917808220
18.50000000000000000000000000,0,0.00,18.50000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.40000000000000000000000000,0E-28,0E-29,47,48,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.05054794520547945205479452055,0.03639452054794520547945205480
18.40000000000000000000000000,0,0.00,18.40000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.30000000000000000000000000,0E-28,0E-29,48,49,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.05027397260273972602739726028,0.03619726027397260273972602740
18.30000000000000000000000000,0,0.00,18.30000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.20000000000000000000000000,0E-28,0E-29,49,50,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.05000000000000000000000000000,0.03600000000000000000000000000
18.20000000000000000000000000,0,0.00,18.20000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.10000000000000000000000000,0E-28,0E-29,50,51,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04972602739726027397260273973,0.03580273972602739726027397261
18.10000000000000000000000000,0,0.00,18.10000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,18.00000000000000000000000000,0E-28,0E-29,51,52,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04945205479452054794520547946,0.03560547945205479452054794521
18.00000000000000000000000000,0,0.00,18.00000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.90000000000000000000000000,0E-28,0E-29,52,53,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04917808219178082191780821918,0.03540821917808219178082191781
17.90000000000000000000000000,0,0.00,17.90000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.80000000000000000000000000,0E-28,0E-29,53,54,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04890410958904109589041095891,0.03521095890410958904109589042
17.80000000000000000000000000,0,0.00,17.80000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.70000000000000000000000000,0E-28,0E-29,54,55,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04863013698630136986301369864,0.03501369863013698630136986302
17.70000000000000000000000000,0,0.00,17.70000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.60000000000000000000000000,0E-28,0E-29,55,56,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04835616438356164383561643836,0.03481643835616438356164383562
17.60000000000000000000000000,0,0.00,17.60000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.50000000000000000000000000,0E-28,0E-29,56,57,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04808219178082191780821917809,0.03461917808219178082191780822
17.50000000000000000000000000,0,0.00,17.50000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.40000000000000000000000000,0E-28,0E-29,57,58,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04780821917808219178082191781,0.03442191780821917808219178082
17.40000000000000000000000000,0,0.00,17.40000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.30000000000000000000000000,0E-28,0E-29,58,59,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04753424657534246575342465754,0.03422465753424657534246575343
17.30000000000000000000000000,0,0.00,17.30000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.20000000000000000000000000,0E-28,0E-29,59,60,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04726027397260273972602739726,0.03402739726027397260273972603
17.20000000000000000000000000,0,0.00,17.20000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.10000000000000000000000000,0E-28,0E-29,60,61,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04698630136986301369863013699,0.03383013698630136986301369863
17.10000000000000000000000000,0,0.00,17.10000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,17.00000000000000000000000000,0E-28,0E-29,61,62,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.04671232876712328767123287672,0.03363287671232876712328767124
