year,opening_t,required_reserve_t,gross_t,losses_t,served_t,served_critical_t,shortage_t,shortage_critical_t,inventory_t_year,holding_mln,closing_t,total_demand_t,critical_demand_t,total_service,critical_service,loss_share
2035,12.32876712328767123287671233,12.32876712328767123287671233,109.8759234024241554902101414,4.944416553109086997059456362,99.99999999999999999999999875,80.00000000000000000000000024,0E-29,0E-29,19.16666666666666666666666741,13.80000000000000000000000052,17.26027397260273972602739875,100,80,0.9999999999999999999999999875,1,0.04499999999999999999999999999
2036,17.26027397260273972602739875,17.26027397260273972602739726,150.4522733521809939438377314,4.287889790537158327399375344,140.0000000000000000000000009,105.0000000000000000000000009,0E-29,0E-29,25.81203277424873741824651160,18.58466359745909094113748836,23.42465753424657534246575607,140,105,1,1,0.02849999999999999999999999999
2037,23.42465753424657534246575607,23.42465753424657534246575342,204.4742388109367200931728693,2.453690865731240641118074430,189.9999999999999999999999964,135.0000000000000000000000028,0E-29,0E-29,37.85245433789954337899543659,27.25376712328767123287671436,35.44520547945205479452055097,190,135,0.9999999999999999999999999811,1,0.01199999999999999999999999999
2038,35.44520547945205479452055097,30.82191780821917808219178082,263.0816371804115135045199935,3.156979646164938162054239922,250.0000000000000000000000026,170.0000000000000000000000058,0E-29,0E-29,39.20361872146118721461187605,28.22660547945205479452055074,45.36986301369863013698630624,250,170,1,1,0.012
2039,45.36986301369863013698630624,39.45205479452054794520547945,333.9318396095613110753701958,4.007182075314735732904442354,320.0000000000000000000000060,210.0000000000000000000000051,0E-29,0E-29,64.07905251141552511415525541,46.13691780821917808219178385,55.29452054794520547945205863,320,210,1,1,0.01200000000000000000000000001
2040,55.29452054794520547945205863,48.08219178082191780821917808,392.3035328046142754145638068,4.707642393655371304974765686,390.0000000000000000000000085,250.0000000000000000000000026,0E-29,0E-29,70.24229452054794520547945555,50.57445205479452054794520793,52.89041095890410958904109929,390,250,1,1,0.01200000000000000000000000001
2041,52.89041095890410958904109929,52.89041095890410958904109589,380.6777217015140591204037494,4.568132660418168709444844991,429.0000000000000000000000067,275.0000000000000000000000100,0E-29,0E-29,42.11643835616438356164383814,30.32383561643835616438356350,2.005E-24,429,275,1,1,0.01200000000000000000000000000
